id,title,slug,image,video_url,video_path,video_file,description,ingredients,instructions,recipe_notes,tags,prep_time,cook_time,total_time,servings,difficulty,rating,rating_count,category,cuisine_type,dietary_restrictions,calories_per_serving,protein_per_serving,carbs_per_serving,fat_per_serving,fiber_per_serving,sugar_per_serving,sodium_per_serving,status,views,likes,author_id,featured,created_at,updated_at,uploaded_by_user_id,is_user_recipe,moderation_status,moderator_notes
107,"Mushroom Turnovers","mushroom-turnovers","images/mushroom.jpeg","","","","Flaky pastry turnovers filled with a savory mushroom and herb mixture","2 sheets puff pastry thawed||1 lb mushrooms (cremini or button) finely chopped||2 tablespoons olive oil||3 cloves garlic minced||2 shallots finely chopped||2 tablespoons fresh thyme leaves||1 tablespoon fresh rosemary chopped||1/4 cup vegetable broth||2 tablespoons all-purpose flour||1/4 cup cream cheese||1/2 teaspoon salt||1/4 teaspoon black pepper||1 egg beaten (for egg wash)||Sesame seeds for garnish","Preheat oven to 400°F (200°C)||Line a baking sheet with parchment paper||In a large skillet heat olive oil over medium heat||Add shallots and cook until softened about 2 minutes||Add mushrooms and garlic cook until mushrooms release their moisture and it evaporates about 7-8 minutes||Stir in thyme and rosemary||Sprinkle flour over mixture and stir to combine||Add vegetable broth and cook until thickened about 2 minutes||Remove from heat stir in cream cheese until melted||Season with salt and pepper||Let cool||Roll out puff pastry sheets and cut each into 9 equal squares||Place a spoonful of mushroom mixture in the center of each square||Fold pastry over filling to form triangles and seal edges with a fork||Brush with beaten egg and sprinkle with sesame seeds||Bake for 15-20 minutes until golden brown and puffed||Allow to cool slightly before serving","For best results, squeeze excess moisture from mushrooms before cooking","vegetarian,party-food,make-ahead","30 mins","20 mins","50 mins",12,"Medium",4.5,45,"appetizer","French","vegetarian",285,8.2,22.5,18.5,3.2,4.1,380.5,"published",156,87,1,0,"2024-01-15 19:30:00","2024-01-15 19:30:00",,"0","approved",
108,"Crispy Samosas","crispy-samosas","images/samosas.jpg","","","","Crispy pastry triangles filled with spiced potatoes and peas a popular Indian appetizer","2 cups all-purpose flour||1/2 teaspoon salt||4 tablespoons vegetable oil||1/2 cup water||3 medium potatoes boiled and diced||1 cup green peas||2 tablespoons vegetable oil||1 teaspoon cumin seeds||1 onion finely chopped||2 cloves garlic minced||1 tablespoon ginger grated||1 green chili finely chopped (optional)||1 teaspoon ground cumin||1 teaspoon ground coriander||1/2 teaspoon turmeric||1/2 teaspoon garam masala||2 tablespoons fresh cilantro chopped||Salt to taste||Oil for deep frying||Mint chutney for serving","For the dough mix flour and salt in a bowl||Add oil and rub until mixture resembles breadcrumbs||Gradually add water and knead to form a firm dough||Cover and let rest for 30 minutes||For the filling heat oil in a pan and add cumin seeds||When they splutter add onion garlic ginger and green chili||Cook until onions are golden brown then add ground spices and cook for 1 minute||Add potatoes and peas mix well||Season with salt and cook for 3-4 minutes||Stir in cilantro and remove from heat||Let the filling cool completely||Divide the dough into 10-12 equal portions||Roll each portion into a circle about 6 inches in diameter||Cut each circle in half||Wet the straight edge with water and form a cone||Fill the cone with about 2 tablespoons of the potato mixture||Seal the open edge by pressing firmly||Heat oil to 350°F (175°C) and deep fry samosas until golden brown about 3-4 minutes per batch||Drain on paper towels and serve hot with mint chutney","Make sure oil is at proper temperature for best crispy results","vegetarian,vegan,indian,fried","45 mins","15 mins","60 mins",12,"Hard",4.8,89,"appetizer","Indian","vegetarian,vegan",295,6.8,38.5,12.8,4.2,5.1,420.8,"published",345,189,1,0,"2024-01-15 20:00:00","2024-01-15 20:00:00",,"0","approved",
109,"Avocado Toast Bites","avocado-toast-bites","images/avocado-toast-bites.jpg","","","","Bite-sized pieces of toasted baguette topped with creamy avocado cherry tomatoes and a sprinkle of everything bagel seasoning","1 baguette sliced into 1/2-inch rounds||3 tablespoons olive oil||2 ripe avocados||1 tablespoon lemon juice||1/2 teaspoon salt||1/4 teaspoon black pepper||1 cup cherry tomatoes halved||2 tablespoons red onion finely diced||2 tablespoons everything bagel seasoning||Fresh microgreens for garnish (optional)","Preheat oven to 375°F (190°C)||Brush baguette slices with olive oil on both sides and place on a baking sheet||Bake for 5-7 minutes until lightly toasted||In a bowl mash avocados with lemon juice salt and pepper||Spread avocado mixture on toasted baguette slices||Top each with cherry tomato halves and diced red onion||Sprinkle with everything bagel seasoning||Garnish with microgreens if desired||Serve immediately","Use ripe but firm avocados for best texture","vegetarian,vegan,quick,healthy","15 mins","8 mins","23 mins",12,"Easy",4.6,78,"appetizer","American","vegetarian,vegan",165,4.2,18.5,9.8,6.2,3.1,285.2,"published",267,142,1,0,"2024-01-15 20:30:00","2024-01-15 20:30:00",,"0","approved",
110,"Sweet Potato Chickpea Bites","sweet-potato-chickpea-bites","images/sweet-potato-bites.jpg","","","","Roasted sweet potato rounds topped with a flavorful chickpea and herb salad","2 large sweet potatoes sliced into 1/2-inch rounds||2 tablespoons olive oil||1 teaspoon salt||1/2 teaspoon paprika||1 can (15 oz) chickpeas drained and rinsed||1/4 cup red bell pepper finely diced||1/4 cup cucumber finely diced||2 tablespoons red onion finely diced||2 tablespoons fresh parsley chopped||1 tablespoon fresh mint chopped||2 tablespoons lemon juice||1 tablespoon olive oil||1/2 teaspoon cumin||1/4 teaspoon salt||1/4 teaspoon black pepper","Preheat oven to 425°F (220°C)||Line a baking sheet with parchment paper||Toss sweet potato rounds with olive oil salt and paprika||Arrange in a single layer on baking sheet and roast for 20-25 minutes flipping halfway through until tender and slightly crispy on edges||Meanwhile in a bowl combine chickpeas bell pepper cucumber red onion parsley and mint||In a small bowl whisk together lemon juice olive oil cumin salt and pepper||Pour dressing over chickpea mixture and toss to combine||Once sweet potatoes are done let cool slightly then top each round with a spoonful of chickpea salad||Arrange on a serving platter and serve warm or at room temperature","Sweet potatoes can be roasted ahead of time and reheated","vegetarian,vegan,gluten-free,healthy","15 mins","25 mins","40 mins",12,"Medium",4.7,67,"appetizer","Mediterranean","vegetarian,vegan,gluten-free",185,5.8,28.2,6.8,5.5,8.1,320.5,"published",198,123,1,0,"2024-01-15 21:00:00","2024-01-15 21:00:00",,"0","approved",
111,"Crispy Zucchini Fritters","crispy-zucchini-fritters","images/zucchini-fritters.jpg","","","","Golden crispy zucchini fritters served with a cool yogurt dipping sauce","2 medium zucchini grated||1 teaspoon salt plus more to taste||1/4 cup all-purpose flour||1/4 cup cornstarch||2 green onions finely chopped||2 tablespoons fresh dill chopped||1 clove garlic minced||1 egg beaten||1/4 teaspoon black pepper||Vegetable oil for frying||1 cup plain Greek yogurt||1 tablespoon lemon juice||1 tablespoon fresh mint chopped||1/2 teaspoon garlic powder||Salt and pepper to taste","Place grated zucchini in a colander sprinkle with 1 teaspoon salt and let sit for 10 minutes||Squeeze out as much moisture as possible from the zucchini using a clean kitchen towel||In a large bowl combine zucchini flour cornstarch green onions dill garlic egg and pepper||Heat 1/4 inch of oil in a large skillet over medium heat||Drop heaping tablespoons of batter into the hot oil and flatten slightly||Cook for 2-3 minutes per side until golden brown and crispy||Drain on paper towels and sprinkle with salt while still hot||For the sauce mix Greek yogurt lemon juice mint garlic powder salt and pepper||Serve fritters hot with yogurt sauce on the side","Removing moisture from zucchini is crucial for crispy fritters","vegetarian,fried,party-food","20 mins","10 mins","30 mins",6,"Medium",4.6,56,"appetizer","Mediterranean","vegetarian",195,8.5,15.2,12.8,2.8,4.5,380.2,"published",234,156,1,0,"2024-01-15 21:30:00","2024-01-15 21:30:00",,"0","approved",
112,"Watermelon Feta Skewers","watermelon-feta-skewers","images/watermelon-feta.jpg","","","","Refreshing skewers with sweet watermelon tangy feta cheese and fresh mint drizzled with balsamic glaze","1 small watermelon cut into 1-inch cubes||8 oz feta cheese cut into 1/2-inch cubes||1/4 cup fresh mint leaves||3 tablespoons balsamic glaze||2 tablespoons extra virgin olive oil||Freshly ground black pepper||24 small skewers or toothpicks","Thread a watermelon cube followed by a mint leaf and then a feta cube onto each skewer||Arrange on a serving platter||Drizzle with balsamic glaze and olive oil||Finish with a sprinkle of freshly ground black pepper||Serve immediately or refrigerate until ready to serve (no more than 1 hour)","Don't assemble too far in advance as watermelon will release juice","vegetarian,gluten-free,no-cook,summer,quick","15 mins","0 mins","15 mins",12,"Easy",4.5,43,"appetizer","Mediterranean","vegetarian,gluten-free",95,4.2,8.5,6.8,1.2,7.1,285.5,"published",189,98,1,0,"2024-01-15 22:00:00","2024-01-15 22:00:00",,"0","approved",
113,"Smoky Baba Ganoush","smoky-baba-ganoush","images/baba-ganoush.jpg","","","","Creamy smoky eggplant dip served with homemade crispy pita chips","2 large eggplants||3 tablespoons tahini||2 cloves garlic minced||2 tablespoons lemon juice||1 tablespoon olive oil plus more for drizzling||1/2 teaspoon ground cumin||1/4 teaspoon smoked paprika plus more for garnish||Salt and pepper to taste||2 tablespoons fresh parsley chopped||6 pita breads||2 tablespoons olive oil||1 teaspoon za'atar seasoning (optional)","Preheat oven to 450°F (230°C)||Prick eggplants all over with a fork and place on a baking sheet||Roast for 30-40 minutes until skin is charred and flesh is soft||Let cool then cut in half and scoop out the flesh into a colander||Let drain for 10 minutes||Transfer eggplant to a food processor||Add tahini garlic lemon juice olive oil cumin smoked paprika salt and pepper||Pulse until smooth but still slightly textured||For pita chips reduce oven to 375°F (190°C)||Cut each pita into 8 triangles||Brush with olive oil and sprinkle with za'atar if using||Bake for 10-12 minutes until crispy and golden||Serve baba ganoush in a bowl drizzled with olive oil sprinkled with smoked paprika and parsley with pita chips on the side","Charring the eggplant adds essential smoky flavor","vegetarian,vegan,mediterranean,make-ahead","35 mins","50 mins","85 mins",6,"Medium",4.7,89,"appetizer","Middle Eastern","vegetarian,vegan",165,4.8,18.5,9.2,6.8,8.1,245.8,"published",267,134,1,0,"2024-01-15 22:30:00","2024-01-15 22:30:00",,"0","approved",
114,"Cucumber Cream Cheese Canapes","cucumber-cream-cheese-canapes","images/cucumber-canapes.jpg","","","","Fresh cucumber rounds topped with herb-infused cream cheese and garnished with radish and dill","2 English cucumbers||8 oz cream cheese softened||2 tablespoons fresh dill chopped||2 tablespoons fresh chives chopped||1 tablespoon lemon zest||1 clove garlic minced||Salt and pepper to taste||4 radishes thinly sliced||Fresh dill sprigs for garnish||Paprika for dusting","Slice cucumbers into 1/4-inch thick rounds||In a bowl combine cream cheese dill chives lemon zest garlic salt and pepper||Using a small spoon or piping bag add a dollop of the cream cheese mixture onto each cucumber round||Top each with a radish slice and a small sprig of dill||Dust lightly with paprika for color||Arrange on a serving platter and refrigerate until ready to serve","Use English cucumbers for less seeds and better presentation","vegetarian,gluten-free,low-carb,no-cook,quick","20 mins","0 mins","20 mins",12,"Easy",4.4,32,"appetizer","American","vegetarian,gluten-free",85,3.2,4.5,7.8,1.2,2.8,185.2,"published",156,87,1,0,"2024-01-15 23:00:00","2024-01-15 23:00:00",,"0","approved",
115,"Crispy Vegetable Pakoras","vegetable-pakoras","images/pakoras.jpg","","","","Crispy Indian fritters made with assorted vegetables in a spiced chickpea batter","1 cup chickpea flour (besan)||1/2 teaspoon baking powder||1 teaspoon ground cumin||1 teaspoon ground coriander||1/2 teaspoon turmeric||1/4 teaspoon cayenne pepper||1/2 teaspoon salt||3/4 cup water||1 small onion thinly sliced||1 potato thinly sliced||1 bell pepper thinly sliced||1 cup spinach leaves||1/4 cup fresh cilantro chopped||1 green chili finely chopped (optional)||Vegetable oil for deep frying||Mint chutney for serving","In a large bowl combine chickpea flour baking powder cumin coriander turmeric cayenne pepper and salt||Gradually add water whisking to form a smooth batter (consistency of thick pancake batter)||Add vegetables cilantro and green chili if using||Mix well to coat all vegetables||Heat oil in a deep pan or wok to 350°F (175°C)||Drop spoonfuls of the vegetable mixture into the hot oil||Fry in batches for 3-4 minutes until golden brown and crispy||Drain on paper towels and serve hot with mint chutney","Maintain proper oil temperature for crispiest results","vegetarian,vegan,indian,fried,gluten-free","20 mins","10 mins","30 mins",6,"Medium",4.8,67,"appetizer","Indian","vegetarian,vegan,gluten-free",225,8.2,22.5,12.8,4.5,5.1,385.2,"published",298,167,1,0,"2024-01-15 23:30:00","2024-01-15 23:30:00",,"0","approved",
116,"Almond Stuffed Dates","almond-stuffed-dates","images/stuffed-dates.jpg","","","","Sweet Medjool dates stuffed with crunchy almonds and brightened with orange zest","24 Medjool dates||24 whole almonds roasted and unsalted||1 orange zested||1/4 teaspoon cinnamon||2 tablespoons honey||2 tablespoons pistachios finely chopped (for garnish)","Make a lengthwise slit in each date and remove the pit||Insert an almond into each date||Arrange dates on a serving plate||In a small bowl mix orange zest and cinnamon||Drizzle honey over the dates||Sprinkle with the orange zest mixture and garnish with chopped pistachios||Serve at room temperature","Choose soft, plump Medjool dates for best results","vegetarian,gluten-free,quick,healthy","15 mins","0 mins","15 mins",12,"Easy",4.6,45,"appetizer","Middle Eastern","vegetarian,gluten-free",125,3.2,18.5,5.8,3.2,15.8,2.5,"published",189,98,1,0,"2024-01-16 00:00:00","2024-01-16 00:00:00",,"0","approved",
