id,title,slug,image,video_url,video_path,video_file,description,ingredients,instructions,recipe_notes,tags,prep_time,cook_time,total_time,servings,difficulty,rating,rating_count,category,cuisine_type,dietary_restrictions,calories_per_serving,protein_per_serving,carbs_per_serving,fat_per_serving,fiber_per_serving,sugar_per_serving,sodium_per_serving,status,views,likes,author_id,featured,created_at,updated_at,uploaded_by_user_id,is_user_recipe,moderation_status,moderator_notes
129,"Almond Milk Smoothie","almond-milk-smoothie","images/almond-smoothie.jpg","","","","Refreshing smoothie with almond milk and fruit","1 cup almond milk||1 banana||1/2 cup strawberries||1 tablespoon honey","Blend all ingredients until smooth||Serve chilled","Perfect for a quick breakfast on the go","smoothie,healthy,vegan,fruit","5 mins","0 mins","5 mins",2,"Easy",4.6,8,"breakfast","American","vegan,gluten-free",125,2.5,28.5,2.8,4.2,22.5,85.2,"published",145,32,1,0,"2025-06-20 08:00:00","2025-06-20 08:00:00",,"0","approved",
130,"Cheese and Veggie Omelette","cheese-and-veggie-omelette","images/omelette.jpg","","","","Fluffy omelette with cheese and mixed veggies","4 eggs||1/4 cup milk||1/2 cup diced veggies (bell peppers, spinach)||1/4 cup shredded cheese||Salt and pepper to taste","Whisk eggs and milk, season||Cook veggies in a skillet, pour in eggs, cook until set||Add cheese, fold, serve hot","Use any vegetables you have on hand","omelette,eggs,vegetarian,protein","10 mins","10 mins","20 mins",2,"Medium",4.7,15,"breakfast","French","vegetarian",285,22.8,5.5,18.5,2.1,4.2,420.8,"published",198,56,1,0,"2025-06-20 08:00:00","2025-06-20 08:00:00",,"0","approved",
131,"Coconut Pancakes","coconut-pancakes","images/coconut-pancakes.jpg","","","","Fluffy pancakes with a hint of coconut","1 cup flour||1 tablespoon baking powder||1/4 teaspoon salt||1 cup coconut milk||1 egg||2 tablespoons coconut oil","Preheat griddle||Mix dry ingredients, add coconut milk, egg, and oil||Cook 1/4 cup batter per pancake, 2-3 minutes per side||Serve warm","Coconut oil adds extra flavor and richness","pancakes,coconut,breakfast,fluffy","15 mins","10 mins","25 mins",4,"Easy",4.8,23,"breakfast","Tropical","vegetarian",245,6.8,35.2,9.5,2.8,8.5,285.2,"published",267,78,1,1,"2025-06-20 08:00:00","2025-06-20 08:00:00",,"0","approved",
132,"Breakfast Quinoa Bowl","breakfast-quinoa-bowl","images/quinoa-bowl.jpg","","","","Nutty quinoa with fruit and nuts","1 cup quinoa||2 cups water||1/2 cup raspberries||2 tablespoons almonds||1 tablespoon maple syrup","Cook quinoa in water for 15 minutes||Top with raspberries, almonds, and maple syrup||Serve warm","High in protein and fiber for sustained energy","quinoa,healthy,protein,nuts","15 mins","15 mins","30 mins",2,"Medium",4.6,12,"breakfast","American","vegetarian,gluten-free",295,12.8,48.5,8.2,6.5,12.8,15.5,"published",189,45,1,0,"2025-06-20 08:00:00","2025-06-20 08:00:00",,"0","approved",
133,"Ham and Cheese Croissant","ham-and-cheese-croissant","images/ham-croissant.jpg","","","","Baked croissant with ham and melted cheese","4 croissants||4 slices ham||4 slices cheese||1 tablespoon butter","Preheat oven to 350°F (175°C)||Fill croissants with ham and cheese||Brush with butter, bake for 10 minutes||Serve warm","Great for weekend brunch","croissant,ham,cheese,baked","10 mins","10 mins","20 mins",4,"Easy",4.9,34,"breakfast","French","",385,18.5,32.8,22.5,1.8,3.2,785.5,"published",423,98,1,1,"2025-06-20 08:00:00","2025-06-20 08:00:00",,"0","approved",
134,"Berry Breakfast Muffins","berry-breakfast-muffins","images/berry-muffins.jpg","","","","Moist muffins packed with berries","2 cups flour||1/2 cup sugar||2 teaspoons baking powder||1 cup milk||1 egg||1/4 cup butter||1 cup mixed berries","Preheat oven to 375°F (190°C)||Mix dry ingredients, add milk, egg, and melted butter||Fold in berries, bake in muffin tin for 20-25 minutes||Cool before serving","Don't overmix to keep muffins tender","muffins,berries,baked,sweet","20 mins","25 mins","45 mins",12,"Medium",4.7,28,"breakfast","American","vegetarian",185,4.8,32.5,4.8,2.5,12.8,285.2,"published",345,89,1,0,"2025-06-20 08:00:00","2025-06-20 08:00:00",,"0","approved",
135,"Egg and Avocado Toast","egg-and-avocado-toast","images/egg-avocado-toast.jpg","","","","Egg-topped toast with creamy avocado","2 slices bread||1 avocado||2 eggs||Salt and pepper to taste","Toast bread||Mash avocado, spread on toast||Fry or poach eggs, place on toast, season||Serve immediately","Add a sprinkle of red pepper flakes for heat","toast,avocado,eggs,healthy","10 mins","5 mins","15 mins",2,"Easy",4.8,42,"breakfast","American","vegetarian",295,15.8,25.5,18.5,8.2,2.5,385.8,"published",567,145,1,1,"2025-06-20 08:00:00","2025-06-20 08:00:00",,"0","approved",
136,"Cinnamon Roll Breakfast Bake","cinnamon-roll-breakfast-bake","images/cinnamon-bake.jpg","","","","Sweet baked dish with cinnamon roll flavors","1 can cinnamon rolls||4 eggs||1 cup milk||1 teaspoon cinnamon","Preheat oven to 350°F (175°C)||Cut rolls into pieces, place in greased dish||Whisk eggs, milk, and cinnamon, pour over rolls||Bake for 30 minutes, serve warm","Perfect for feeding a crowd","cinnamon,baked,sweet,comfort","20 mins","30 mins","50 mins",6,"Medium",4.9,67,"breakfast","American","vegetarian",345,12.8,48.5,12.8,2.1,28.5,485.2,"published",678,187,1,1,"2025-06-20 08:00:00","2025-06-20 08:00:00",,"0","approved",
137,"Spinach Breakfast Wrap","spinach-breakfast-wrap","images/spinach-wrap.jpg","","","","Healthy wrap with spinach and eggs","2 tortillas||4 eggs||1 cup spinach||1/4 cup cheese||1 tablespoon oil","Heat oil, scramble eggs with spinach||Warm tortillas, fill with egg mixture and cheese||Roll up, serve warm","Great for meal prep - make ahead and reheat","wrap,spinach,eggs,portable","15 mins","10 mins","25 mins",2,"Medium",4.6,19,"breakfast","American","vegetarian",285,18.5,22.8,15.8,3.5,2.8,485.5,"published",234,67,1,0,"2025-06-20 08:00:00","2025-06-20 08:00:00",,"0","approved",
138,"Pumpkin Spice Oatmeal","pumpkin-spice-oatmeal","images/pumpkin-oatmeal.jpg","","","","Warm oatmeal with pumpkin and spices","1 cup oats||2 cups milk||1/2 cup pumpkin puree||1 teaspoon pumpkin spice||1 tablespoon honey","Cook oats and milk, stir in pumpkin puree and spice||Simmer for 5 minutes, top with honey||Serve warm","Perfect for fall mornings","oatmeal,pumpkin,warm,seasonal","10 mins","5 mins","15 mins",2,"Easy",4.5,25,"breakfast","American","vegetarian",225,8.5,42.5,4.8,6.5,18.5,125.8,"published",198,56,1,0,"2025-06-20 08:00:00","2025-06-20 08:00:00",,"0","approved",
