id,title,slug,image,video_url,video_path,video_file,description,ingredients,instructions,recipe_notes,tags,prep_time,cook_time,total_time,servings,difficulty,rating,rating_count,category,cuisine_type,dietary_restrictions,calories_per_serving,protein_per_serving,carbs_per_serving,fat_per_serving,fiber_per_serving,sugar_per_serving,sodium_per_serving,status,views,likes,author_id,featured,created_at,updated_at,uploaded_by_user_id,is_user_recipe,moderation_status,moderator_notes
1,"Classic Garlic Bread","classic-garlic-bread","images/garlic-bread.jpg","","","","Crispy homemade garlic bread with herbs","1 French baguette||1/2 cup butter softened||4 cloves garlic minced||2 tablespoons fresh parsley||1/4 teaspoon salt","Preheat oven to 375°F||Cut baguette in half lengthwise||Mix butter, garlic, parsley, and salt||Spread mixture evenly on bread||Bake for 10-12 minutes until golden||Slice and serve hot","For extra flavor, add a pinch of oregano to the butter mixture","bread,garlic,crispy,side-dish","15 mins","12 mins","27 mins",6,"Easy",4.8,12,"bread-bakes","Italian","vegetarian",185,5.2,28.5,8.1,2.1,1.5,320.5,"published",150,25,1,0,"2025-06-18 18:00:00","2025-06-18 18:00:00",,"0","approved",
2,"Caesar Salad","caesar-salad","images/caesar-salad.jpg","","","","Classic Caesar with homemade dressing","1 large head romaine lettuce||1/2 cup Caesar dressing||1/4 cup grated Parmesan||1 cup croutons||2 anchovy fillets||1 clove garlic||2 tablespoons lemon juice||1 tablespoon Worcestershire","Wash and chop romaine lettuce||Make dressing by mashing garlic and anchovies||Whisk in lemon juice and Worcestershire||Toss lettuce with dressing||Top with Parmesan and croutons||Serve immediately","Chill the plates beforehand for best presentation","caesar,classic,crispy,fresh","15 mins","0 mins","15 mins",4,"Easy",4.7,18,"salads","Mediterranean","",160,8.5,12.2,10.8,4.2,3.1,580.2,"published",285,67,1,1,"2025-06-18 18:00:00","2025-06-18 18:00:00",,"0","approved",
3,"Green Smoothie","green-smoothie","images/green-smoothie.jpg","","","","Nutrient-packed smoothie with spinach and fruit","2 cups fresh spinach||1 banana||1 cup pineapple chunks||1/2 avocado||1 cup coconut water||1 tablespoon honey||1 tablespoon lime juice||1/2 cup ice","Add spinach and coconut water to blender first||Add banana, pineapple, and avocado||Add honey and lime juice||Blend until smooth||Add ice and blend again||Pour into glasses and serve immediately","Add protein powder for post-workout boost","smoothie,green,nutrient,healthy","8 mins","0 mins","8 mins",2,"Easy",4.5,15,"beverages","Tropical","vegan,gluten-free",145,3.8,32.5,4.2,8.5,24.1,45.8,"published",342,89,1,0,"2025-06-18 18:00:00","2025-06-18 18:00:00",,"0","approved",
4,"Trail Mix","trail-mix","images/trail-mix.jpg","","","","Healthy mix of nuts, seeds, and dried fruit","1/2 cup almonds||1/2 cup walnuts||1/2 cup cashews||1/4 cup pumpkin seeds||1/4 cup sunflower seeds||1/2 cup dried cranberries||1/4 cup dark chocolate chips||1/4 teaspoon sea salt","Combine all nuts and seeds in large bowl||Add dried cranberries and chocolate chips||Sprinkle with sea salt||Toss to combine evenly||Store in airtight container||Portion into small bags for grab-and-go snacks","Store in cool, dry place for up to 2 weeks","nuts,healthy,portable,energy","10 mins","0 mins","10 mins",8,"Easy",4.6,13,"snacks","American","vegan,gluten-free",280,8.5,18.2,20.8,4.5,12.8,85.2,"published",198,45,1,0,"2025-06-18 18:00:00","2025-06-18 18:00:00",,"0","approved",
5,"Grilled Chicken Breast","grilled-chicken-breast","images/grilled-chicken.jpg","","","","Perfectly seasoned and grilled chicken breast","4 boneless chicken breasts||2 tablespoons olive oil||1 teaspoon garlic powder||1 teaspoon paprika||1 teaspoon oregano||1/2 teaspoon salt||1/4 teaspoon black pepper||1 tablespoon lemon juice","Pound chicken to even thickness||Mix oil with all seasonings and lemon juice||Marinate chicken 30 minutes||Preheat grill to medium-high||Grill 6-7 minutes per side||Check internal temperature reaches 165°F||Rest 5 minutes before slicing","Let chicken rest after cooking to retain juices","grilled,protein,lean,healthy","15 mins","15 mins","30 mins",4,"Easy",4.7,16,"healthy","Mediterranean","gluten-free,dairy-free",185,35.2,0.5,4.8,0.0,0.2,420.5,"published",567,124,1,1,"2025-06-18 18:00:00","2025-06-18 18:00:00",,"0","approved",
6,"Spinach Artichoke Dip","spinach-artichoke-dip","images/spinach-dip.jpg","","","","Creamy cheesy dip with spinach and artichoke hearts","1 package cream cheese softened||1/4 cup mayonnaise||1/4 cup sour cream||1/4 cup Parmesan cheese||1/4 cup Romano cheese||2 cloves garlic minced||1/2 teaspoon dried basil||1 can artichoke hearts chopped||1 package frozen spinach thawed","Preheat oven to 350°F||Mix cream cheese, mayo, sour cream, and cheeses||Stir in garlic and basil||Add artichoke hearts and spinach||Transfer to baking dish||Bake 20-25 minutes until bubbly||Serve with tortilla chips","Squeeze excess water from spinach thoroughly","dip,party,vegetarian,creamy","25 mins","25 mins","50 mins",8,"Medium",4.7,89,"appetizer","American","vegetarian",220,9.8,8.5,18.2,3.2,4.1,580.8,"published",445,156,1,1,"2025-06-18 18:00:00","2025-06-18 18:00:00",,"0","approved",
7,"Chocolate Chip Cookies","chocolate-chip-cookies","images/cookies.jpg","","","","Classic homemade chocolate chip cookies","2 1/4 cups flour||1 cup brown sugar||1/2 cup white sugar||1 cup butter softened||2 eggs||2 teaspoons vanilla||1 teaspoon baking soda||1 teaspoon salt||2 cups chocolate chips","Preheat oven to 375°F||Cream butter and sugars||Add eggs and vanilla||Mix in dry ingredients||Fold in chocolate chips||Drop onto baking sheets||Bake 9-11 minutes||Cool on wire racks","Don't overbake - cookies continue cooking on hot pan","cookies,dessert,chocolate,sweet","20 mins","11 mins","31 mins",24,"Easy",4.8,156,"dessert","American","vegetarian",285,3.8,42.5,12.8,2.1,28.5,180.2,"published",789,234,1,1,"2025-06-18 18:00:00","2025-06-18 18:00:00",,"0","approved",
8,"Chicken Fajitas","chicken-fajitas","images/fajitas.jpg","","","","Sizzling chicken fajitas with peppers and onions","1 lb chicken breast sliced||2 bell peppers sliced||1 large onion sliced||2 tablespoons olive oil||2 teaspoons chili powder||1 teaspoon cumin||1 teaspoon paprika||1/2 teaspoon garlic powder||Salt and pepper||8 tortillas||Sour cream and salsa for serving","Season chicken with spices||Heat oil in large skillet||Cook chicken 5-7 minutes||Add peppers and onions||Cook until vegetables are tender||Warm tortillas||Serve with toppings","Cast iron skillet gives best searing results","mexican,chicken,peppers,dinner","15 mins","15 mins","30 mins",4,"Easy",4.7,67,"dinner","Mexican","gluten-free option",320,28.5,18.2,15.8,3.5,8.2,520.5,"published",523,145,1,0,"2025-06-18 18:00:00","2025-06-18 18:00:00",,"0","approved",
9,"Pancakes","fluffy-pancakes","images/pancakes.jpg","","","","Fluffy homemade pancakes perfect for breakfast","2 cups flour||2 tablespoons sugar||2 teaspoons baking powder||1 teaspoon salt||2 eggs||1 3/4 cups milk||1/4 cup melted butter||1 teaspoon vanilla","Mix dry ingredients in large bowl||Whisk wet ingredients separately||Combine wet and dry until just mixed||Heat griddle to 375°F||Pour 1/4 cup batter per pancake||Cook until bubbles form, flip once||Serve with syrup","Don't overmix batter - lumps are okay","pancakes,breakfast,fluffy,sweet","10 mins","15 mins","25 mins",6,"Easy",4.9,89,"breakfast","American","vegetarian",245,8.2,38.5,7.8,1.8,8.5,420.2,"published",678,187,1,1,"2025-06-18 18:00:00","2025-06-18 18:00:00",,"0","approved",
10,"Turkey Club Sandwich","turkey-club-sandwich","images/turkey-club.jpg","","","","Classic club sandwich with turkey, bacon, and fresh vegetables","8 slices bread toasted||8 oz sliced turkey||8 strips bacon||4 lettuce leaves||2 tomatoes sliced||1/4 cup mayonnaise||Salt and pepper","Toast bread until golden||Cook bacon until crispy||Spread mayo on toast||Layer turkey, bacon, lettuce, tomato||Season with salt and pepper||Cut diagonally and secure with toothpicks||Serve immediately","Use thick-cut bacon for best texture","sandwich,turkey,bacon,lunch","15 mins","10 mins","25 mins",4,"Easy",4.6,45,"lunch","American","",485,32.8,38.2,22.5,3.8,6.2,1250.8,"published",398,98,1,0,"2025-06-18 18:00:00","2025-06-18 18:00:00",,"0","approved",
