id,title,slug,image,video_url,video_path,video_file,description,ingredients,instructions,recipe_notes,tags,prep_time,cook_time,total_time,servings,difficulty,rating,rating_count,category,cuisine_type,dietary_restrictions,calories_per_serving,protein_per_serving,carbs_per_serving,fat_per_serving,fiber_per_serving,sugar_per_serving,sodium_per_serving,status,views,likes,author_id,featured,created_at,updated_at,uploaded_by_user_id,is_user_recipe,moderation_status,moderator_notes
66,"Miso Soup with Tofu","miso-soup-tofu","images/miso-soup.jpg","","","","Traditional Japanese soup with miso paste and silken tofu","4 cups dashi broth||3 tablespoons miso paste||1/2 cup silken tofu cubed||2 green onions sliced||1 sheet nori cut into strips||1 tablespoon wakame seaweed||1 teaspoon sesame oil","Heat dashi broth in medium saucepan||Whisk miso paste with small amount of broth until smooth||Return to pot and whisk into remaining broth||Add cubed tofu and wakame seaweed||Simmer gently for 2-3 minutes||Remove from heat and add green onions||Garnish with nori strips||Drizzle with sesame oil||Serve immediately in small bowls","Never boil miso soup as it will become cloudy","soup,miso,japanese,tofu","10 mins","5 mins","15 mins",4,"Easy",4.6,34,"lunch","Japanese","vegetarian,vegan,gluten-free",85,6.8,8.5,3.8,2.1,2.5,980.5,"published",298,78,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
72,"Bánh Xèo","banh-xeo","images/banh-xeo.jpg","","","","Vietnamese crispy pancake with shrimp and bean sprouts","1 cup rice flour||1 1/2 cups coconut milk||1/2 lb shrimp peeled||2 cups bean sprouts||2 green onions chopped||1 turmeric powder||1/4 cup water||Lettuce leaves for wrapping||Fresh herbs for garnish||Nuoc cham dipping sauce","Mix rice flour, coconut milk, water, and turmeric||Let batter rest 30 minutes||Heat oil in non-stick pan||Pour batter to coat bottom of pan||Add shrimp and bean sprouts to one half||Cover and cook 3-4 minutes until crispy||Fold pancake in half||Slide onto plate||Wrap pieces in lettuce with herbs||Serve with nuoc cham sauce","Make batter smooth and let it rest for best texture","pancake,vietnamese,shrimp,crispy","20 mins","15 mins","35 mins",4,"Medium",4.8,34,"lunch","Vietnamese","gluten-free",385,22.8,38.5,16.2,3.2,6.2,580.5,"published",334,89,1,1,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
73,"Shepherd's Pie","shepherds-pie","images/shepherds-pie.jpg","","","","Traditional British dish with minced lamb and mashed potatoes","1 lb ground lamb||4 large potatoes||1 onion diced||2 carrots diced||1 cup frozen peas||2 tablespoons tomato paste||1 cup beef stock||1/4 cup milk||2 tablespoons butter||2 tablespoons flour||1 teaspoon Worcestershire sauce","Brown ground lamb in large skillet||Add diced onion and carrots||Cook until vegetables soften||Stir in tomato paste and flour||Add stock and Worcestershire sauce||Simmer 15 minutes until thickened||Add peas in final 5 minutes||Meanwhile, boil and mash potatoes with milk and butter||Layer meat mixture in baking dish||Top with mashed potatoes||Bake at 400°F for 20 minutes until golden","Use a fork to create ridges on potato topping for extra browning","pie,british,lamb,comfort","25 mins","35 mins","60 mins",6,"Medium",4.6,67,"lunch","British","",585,28.5,45.8,32.8,6.2,8.1,880.5,"published",567,156,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
74,"Tom Yum Soup","tom-yum-soup","images/tom-yum.jpg","","","","Spicy and sour Thai soup with shrimp","1/2 lb medium shrimp||4 cups chicken stock||3 lemongrass stalks||4 kaffir lime leaves||3 Thai chilies||3 cloves garlic||2 shallots||3 tablespoons lime juice||2 tablespoons fish sauce||1 tablespoon palm sugar||200g mushrooms sliced||Cilantro for garnish","Bruise lemongrass and add to stock with lime leaves||Bring to boil and simmer 10 minutes||Add chilies, garlic, and shallots||Add mushrooms and cook 3 minutes||Add shrimp and cook until pink||Season with fish sauce, palm sugar, and lime juice||Adjust seasoning to taste||Garnish with fresh cilantro||Serve hot with jasmine rice","Balance the hot, sour, salty, and sweet flavors","soup,thai,tom-yum,spicy","15 mins","20 mins","35 mins",4,"Medium",4.8,78,"lunch","Thai","gluten-free",185,18.5,12.8,6.8,2.1,8.1,1180.8,"published",623,178,1,1,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
75,"Goulash","goulash","images/goulash.jpg","","","","Hungarian beef stew with paprika and vegetables","1 lb beef chuck cubed||2 onions sliced||2 tablespoons Hungarian paprika||2 bell peppers chopped||3 tomatoes chopped||2 cups beef stock||2 tablespoons tomato paste||2 bay leaves||1 teaspoon caraway seeds||2 tablespoons vegetable oil||Salt and pepper to taste","Heat oil in heavy pot and brown beef cubes||Remove beef and sauté onions until soft||Add paprika and cook 1 minute||Return beef to pot with tomato paste||Add tomatoes, peppers, and stock||Add bay leaves and caraway seeds||Bring to boil, then simmer covered 1.5 hours||Stir occasionally and add water if needed||Season with salt and pepper||Serve with bread or noodles","Use sweet Hungarian paprika for authentic flavor","stew,hungarian,beef,paprika","20 mins","90 mins","110 mins",6,"Medium",4.7,45,"lunch","Hungarian","gluten-free",485,32.8,22.8,28.8,4.5,12.1,780.5,"published",445,123,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
76,"Soba Noodle Salad","soba-noodle-salad","images/soba-salad.jpg","","","","Japanese buckwheat noodle salad with sesame dressing","8 oz soba noodles||1 cucumber julienned||1 carrot julienned||1 red bell pepper sliced||2 tablespoons sesame oil||2 tablespoons rice vinegar||1 tablespoon soy sauce||1 teaspoon honey||1 tablespoon sesame seeds||2 green onions sliced||Nori sheets for garnish","Cook soba noodles according to package directions||Rinse with cold water and drain well||Julienne cucumber and carrot||Slice bell pepper into thin strips||Whisk together sesame oil, vinegar, soy sauce, and honey||Toss noodles with dressing||Add vegetables and toss again||Sprinkle with sesame seeds and green onions||Garnish with torn nori sheets||Serve chilled or at room temperature","Rinse soba noodles thoroughly to remove excess starch","noodles,soba,japanese,vegetarian","15 mins","8 mins","23 mins",4,"Easy",4.6,34,"lunch","Japanese","vegetarian,vegan",320,12.8,52.8,8.5,4.2,8.1,680.5,"published",298,78,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
77,"Moroccan Tagine","moroccan-tagine","images/tagine.jpg","","","","Slow-cooked Moroccan stew with chicken and apricots","1 lb chicken thighs||1 onion sliced||1 cup dried apricots||1 can chickpeas||1 teaspoon cinnamon||1 teaspoon ginger||1 teaspoon turmeric||1/2 teaspoon saffron||2 cups chicken stock||2 tablespoons honey||1/4 cup almonds sliced||Fresh cilantro for garnish","Season chicken with salt, pepper, and half the spices||Brown chicken in tagine or heavy pot||Remove chicken and sauté onions||Add remaining spices and cook 1 minute||Return chicken with apricots and chickpeas||Add stock and honey||Bring to boil, then simmer covered 45 minutes||Garnish with almonds and cilantro||Serve with couscous or rice","Traditionally cooked in a clay tagine for best flavor","tagine,moroccan,chicken,apricots","20 mins","50 mins","70 mins",4,"Medium",4.8,56,"lunch","Moroccan","gluten-free",485,32.8,42.5,18.5,8.2,28.1,680.5,"published",523,167,1,1,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
78,"Pad See Ew","pad-see-ew","images/pad-see-ew.jpg","","","","Thai stir-fried noodles with dark soy sauce and Chinese broccoli","8 oz fresh rice noodles||1/2 lb pork or chicken sliced||2 cups Chinese broccoli||2 eggs||3 tablespoons dark soy sauce||1 tablespoon light soy sauce||2 tablespoons sugar||2 tablespoons vegetable oil||2 cloves garlic minced||White pepper to taste","Separate rice noodles carefully||Heat oil in wok over high heat||Add garlic and protein, stir-fry until cooked||Push to one side and scramble eggs||Add noodles and both soy sauces||Add sugar and toss everything together||Add Chinese broccoli and stir-fry until wilted||Season with white pepper||Serve immediately while hot","Use fresh rice noodles for best texture","noodles,thai,pad-see-ew,stir-fry","15 mins","10 mins","25 mins",4,"Medium",4.7,67,"lunch","Thai","",485,22.8,62.8,16.2,4.2,18.1,"published",445,134,1,0,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
79,"Moussaka","moussaka","images/moussaka.jpg","","","","Greek baked dish with eggplant, meat sauce, and béchamel","2 large eggplants||1 lb ground lamb||1 onion diced||2 cups tomato sauce||1/2 cup red wine||2 cups béchamel sauce||1/2 cup Parmesan grated||1/4 cup olive oil||2 cloves garlic minced||1 teaspoon oregano||Cinnamon pinch","Slice eggplants and salt for 30 minutes||Rinse and pat dry, then brush with oil||Grill or bake eggplant until tender||Make meat sauce by browning lamb with onion||Add garlic, tomato sauce, wine, oregano, and cinnamon||Simmer 20 minutes until thickened||Layer eggplant and meat sauce in baking dish||Top with béchamel and Parmesan||Bake at 375°F for 45 minutes until golden||Let rest 15 minutes before serving","Salt eggplant to remove bitterness","moussaka,greek,eggplant,lamb","45 mins","60 mins","105 mins",8,"Hard",4.8,78,"lunch","Greek","",585,28.5,32.8,38.5,6.2,12.1,880.5,"published",567,189,1,1,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
80,"Clam Chowder","clam-chowder","images/clam-chowder.jpg","","","","Creamy New England soup with clams and potatoes","2 cans chopped clams||4 slices bacon diced||1 onion diced||2 celery stalks diced||3 potatoes cubed||2 cups heavy cream||1 cup milk||2 tablespoons flour||2 bay leaves||1 teaspoon thyme||Salt and pepper to taste||Oyster crackers for serving","Cook bacon until crispy, remove and set aside||Sauté onion and celery in bacon fat||Add flour and cook 2 minutes||Gradually add clam juice, stirring constantly||Add potatoes, bay leaves, and thyme||Simmer until potatoes are tender||Stir in clams, cream, and milk||Heat through but don't boil||Season with salt and pepper||Garnish with crispy bacon||Serve with oyster crackers","Don't boil after adding cream to prevent curdling","chowder,clam,new-england,soup","20 mins","25 mins","45 mins",6,"Medium",4.7,89,"lunch","New England","",485,22.8,28.5,32.8,3.2,8.1,1180.8,"published",623,178,1,1,"2025-06-13 21:13:00","2025-06-13 21:13:00",,"0","approved",
